11:24:54:914,38.671,42.4607,90.4232
11:24:54:954,55.0453,41.1007,105.094
11:24:54:994,38.8365,42.6539,90.9029
11:24:55:034,38.506,42.3062,90.0049
11:24:55:074,39.0767,42.9222,91.3889
11:24:55:114,39.2737,42.9805,91.7491
11:24:55:154,39.0538,42.9486,91.476
11:24:55:194,38.8143,42.6535,90.9209
11:24:55:234,39.1389,43.1415,91.9441
11:24:55:274,39.3724,43.1972,92.0137
11:24:55:314,39.2789,43.2869,92.0861
11:24:55:354,39.0925,43.1234,91.7131
11:24:55:394,38.7688,42.8911,90.9802
11:24:55:434,39.5292,43.4847,92.2741
11:24:55:474,39.8251,43.8628,92.7875
11:24:55:514,39.9973,43.9889,92.5542
11:24:55:554,39.805,43.8215,92.2429
11:24:55:594,39.9302,43.9535,92.29
11:24:55:634,40.3913,44.2401,92.9412
11:24:55:674,40.336,44.2552,92.9474
11:24:55:714,40.8451,44.1143,93.5221
11:24:55:754,40.6862,44.4853,93.4122
11:24:55:794,40.3415,44.1571,92.3217
11:24:55:834,40.8167,44.6305,93.6046
11:24:55:874,40.8877,44.6954,93.6758
11:24:55:914,41.2129,44.8613,93.9058
11:24:55:954,40.8993,44.7048,93.4311
11:24:55:994,41.0863,44.7687,93.4355
11:24:56:034,40.9212,44.731,93.1404
11:24:56:074,41.1958,45.07,94.0992
11:24:56:114,41.0636,44.9295,93.6262
11:24:56:154,41.627,45.4258,94.569
11:24:56:194,41.6831,45.569,94.9124
11:24:56:234,41.7025,45.6964,95.1539
11:24:56:274,41.796,45.7591,95.1213
11:24:56:314,41.6675,45.5751,94.6206
11:24:56:355,41.3198,45.2561,94.0025
11:24:56:394,41.1984,45.2147,93.6167
11:24:56:434,41.306,45.1946,93.7167
11:24:56:474,41.6112,44.9078,93.7988
11:24:56:514,41.6842,45.0819,94.2088
11:24:56:554,41.5761,44.8927,93.7727
11:24:56:594,41.5947,44.8005,93.7744
11:24:56:634,41.3945,44.6998,93.6481
11:24:56:674,39.1565,45.0659,94.4723
11:24:56:714,39.3805,45.0402,94.4692
11:24:56:754,39.3687,45.1445,94.7626
11:24:56:794,39.1103,44.7499,93.9002
11:24:56:834,38.9906,44.6691,93.6365
11:24:56:874,38.9278,44.7963,93.9473
11:24:56:914,39.1026,44.7545,93.992
11:24:56:954,39.1844,44.848,93.9307
11:24:56:994,39.2403,44.9952,94.3651
11:24:57:034,39.0463,44.8174,93.9426
11:24:57:074,41.9453,44.983,94.5984
11:24:57:114,41.9563,45.1194,94.9079
11:24:57:154,41.9106,44.959,94.3609
11:24:57:194,41.7435,44.8213,94.0697
11:24:57:234,41.9307,45.0396,94.8311
11:24:57:274,41.8384,45.0555,94.49
11:24:57:314,41.8516,44.9901,94.5655
11:24:57:354,41.5901,44.8257,94.0634
11:24:57:394,41.9741,45.2706,94.9623
11:24:57:434,41.6665,44.9033,93.9456
11:24:57:474,42.0876,45.4337,95.1571
11:24:57:514,42.0384,45.3891,94.9081
11:24:57:554,41.876,45.251,94.6945
11:24:57:594,41.8625,44.9764,94.1107
11:24:57:634,41.5445,44.7622,93.8812
11:24:57:674,41.6973,44.8624,94.3798
11:24:57:714,41.6088,44.7109,93.9699
11:24:57:754,41.9175,44.887,94.8882
11:24:57:794,41.6086,44.6356,94.0784
11:24:57:834,41.5893,44.5597,94.1824
